Restaurant_Name,Restaurant_Web_Link,Review_Count,Price Range,Cuisines_offered_1,Cusines_offered_2,Review_1,Review_1_date,Review_2,Review_2_date,Category,Cuisines_offered_3,Cusines_offered_4,Cuisines_offered_5
Il grano,https://www.tripadvisor.com/Restaurant_Review-g187147-d10622104-Reviews-Il_grano-Paris_Ile_de_France.html,421 reviews,$$ - $$$,Pizza,Italian,10-Oct,11/29/2017,Beautiful Pizza!,11/24/2017,,Mediterranean,European,Vegetarian Friendly
L'Acolyte de L'Insolite,https://www.tripadvisor.com/Restaurant_Review-g187147-d7139067-Reviews-L_Acolyte_de_L_Insolite-Paris_Ile_de_France.html,162 reviews,$$ - $$$,French,European,Incredible value,10/30/2017,Amazing,10/29/2017,,Vegetarian Friendly,,
Auberge des Pyrenees Cevennes,https://www.tripadvisor.com/Restaurant_Review-g187147-d718143-Reviews-Auberge_des_Pyrenees_Cevennes-Paris_Ile_de_France.html,365 reviews,$$ - $$$,French,European,Outstanding. Lived up to its excellent rep...,11/13/2017,Followed Trip Advisor ratings...,11/9/2017,,,,
Meriggio,https://www.tripadvisor.com/Restaurant_Review-g187147-d10060999-Reviews-Meriggio-Paris_Ile_de_France.html,244 reviews,$$ - $$$,Italian,Mediterranean,Delicious!,12/1/2017,Wonderful Italian cuisine in the heart of...,11/8/2017,,European,Vegetarian Friendly,Vegan Options
Les Trublions,https://www.tripadvisor.com/Restaurant_Review-g187147-d8504956-Reviews-Les_Trublions-Paris_Ile_de_France.html,239 reviews,$$ - $$$,French,European,Fantastic flavours & presentation!,11/25/2017,"Fantastic, truly superb",11/23/2017,Contemporary,Vegetarian Friendly,Vegan Options,Gluten Free Options
Il Farniente,https://www.tripadvisor.com/Restaurant_Review-g187147-d3735141-Reviews-Il_Farniente-Paris_Ile_de_France.html,295 reviews,$$ - $$$,Italian,Mediterranean,Very well,7/25/2017,Delicious pasta!,7/12/2017,,European,Vegetarian Friendly,Vegan Options
NEW JHELUM,https://www.tripadvisor.com/Restaurant_Review-g187147-d9566600-Reviews-NEW_JHELUM-Paris_Ile_de_France.html,275 reviews,$$ - $$$,Indian,Pakistani,Perfection,11/27/2017,MUST TRY!,11/26/2017,,Vegetarian Friendly,Vegan Options,
Les Botanistes,https://www.tripadvisor.com/Restaurant_Review-g187147-d1991492-Reviews-Les_Botanistes-Paris_Ile_de_France.html,377 reviews,$$ - $$$,French,European,A nice little bistro,11/30/2017,What a delight!,11/27/2017,,Vegetarian Friendly,Gluten Free Options,
Saigon Pantheon,https://www.tripadvisor.com/Restaurant_Review-g187147-d3438362-Reviews-Saigon_Pantheon-Paris_Ile_de_France.html,806 reviews,$$ - $$$,Asian,Vietnamese,Excellent meal,11/13/2017,Wow amazing food and staff. Such a nice fr...,11/11/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Chef Garozzo Restaurant Italien Sicilien,https://www.tripadvisor.com/Restaurant_Review-g187147-d8372567-Reviews-Chef_Garozzo_Restaurant_Italien_Sicilien-Paris_Ile_de_France.html,410 reviews,$$ - $$$,Italian,Pizza,Best Paris finale,12/3/2017,Very Enjoyable Meal,11/24/2017,,Seafood,Mediterranean,European
Le Louis,https://www.tripadvisor.com/Restaurant_Review-g187147-d7088641-Reviews-Le_Louis-Paris_Ile_de_France.html,729 reviews,$$ - $$$,French,European,I almost have no words...,11/27/2017,Excellent french cuisine,11/22/2017,,Vegetarian Friendly,Gluten Free Options,
Jean Yves of Chef Jean-Yves' Table,https://www.tripadvisor.com/Restaurant_Review-g187147-d11752078-Reviews-Jean_Yves_of_Chef_Jean_Yves_Table-Paris_Ile_de_France.html,79 reviews,$$ - $$$,French,Asian,Unique experience,11/25/2017,Fusion of great cooking and atmosphere,11/20/2017,Gastropub,Fusion,,
Le Volant,https://www.tripadvisor.com/Restaurant_Review-g187147-d719479-Reviews-Le_Volant-Paris_Ile_de_France.html,485 reviews,$$ - $$$,French,European,Absolutely perfect,11/10/2017,just amazing,11/9/2017,,,,
Maloka Alma Brasileira,https://www.tripadvisor.com/Restaurant_Review-g187147-d6427651-Reviews-Maloka_Alma_Brasileira-Paris_Ile_de_France.html,626 reviews,$$ - $$$,Vegetarian Friendly,,Heaven,8/31/2017,Excellent,8/12/2017,Brazilian,,,
La Jacobine,https://www.tripadvisor.com/Restaurant_Review-g187147-d742400-Reviews-La_Jacobine-Paris_Ile_de_France.html,"1,815 reviews",$$ - $$$,French,European,Very tasty ...!,11/27/2017,"Good food, make a reservation",11/23/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Cuisine et Dependances,https://www.tripadvisor.com/Restaurant_Review-g187147-d7112951-Reviews-Cuisine_et_Dependances-Paris_Ile_de_France.html,357 reviews,$$ - $$$,French,Mediterranean,Delicious!,11/10/2017,Amazing place,11/4/2017,,European,Vegetarian Friendly,Vegan Options
A L'endroit,https://www.tripadvisor.com/Restaurant_Review-g187147-d6523426-Reviews-A_L_endroit-Paris_Ile_de_France.html,353 reviews,$$ - $$$,French,European,Excellent Bistro in an out-of-the-way loca...,12/2/2017,Absolutely Delicious,9/21/2017,,Delicatessen,,
Loco,https://www.tripadvisor.com/Restaurant_Review-g187147-d10222301-Reviews-Loco-Paris_Ile_de_France.html,347 reviews,$$ - $$$,Steakhouse,Latin,Really good Argentinian,11/25/2017,Great meat :),11/24/2017,,Barbecue,Argentinean,
Chez Max et Nico,https://www.tripadvisor.com/Restaurant_Review-g187147-d8374123-Reviews-Chez_Max_et_Nico-Paris_Ile_de_France.html,206 reviews,$$ - $$$,French,European,"Excellent location, food and service",11/24/2017,Fun dining excellent choice last night in...,10/27/2017,,Vegetarian Friendly,,
Petite Fleur,https://www.tripadvisor.com/Restaurant_Review-g187147-d12049160-Reviews-Petite_Fleur-Paris_Ile_de_France.html,115 reviews,$$ - $$$,French,European,AMAZING - great find!,12/1/2017,Great find!,11/27/2017,,,,
Canard & Champagne,https://www.tripadvisor.com/Restaurant_Review-g187147-d9821217-Reviews-Canard_Champagne-Paris_Ile_de_France.html,541 reviews,$$ - $$$,French,European,Best meal in paris,11/29/2017,Delightful,11/28/2017,,,,
Chez Marcel,https://www.tripadvisor.com/Restaurant_Review-g187147-d714983-Reviews-Chez_Marcel-Paris_Ile_de_France.html,707 reviews,$$ - $$$,French,Vegetarian Friendly,A wonderful evening,11/8/2017,A gem in Paris,10/31/2017,,,,
Comptoir de la Gastronomie,https://www.tripadvisor.com/Restaurant_Review-g187147-d1049074-Reviews-Comptoir_de_la_Gastronomie-Paris_Ile_de_France.html,911 reviews,$$ - $$$,French,European,The best fois Gras & Duck ever,12/2/2017,Eat here!,11/25/2017,,,,
Le Sanglier Bleu,https://www.tripadvisor.com/Restaurant_Review-g187147-d6385496-Reviews-Le_Sanglier_Bleu-Paris_Ile_de_France.html,384 reviews,$$ - $$$,French,European,The duck is to die for!,11/26/2017,Visited before see the show at the windmil...,11/8/2017,Gastropub,Vegetarian Friendly,,
Le Relais Gascon,https://www.tripadvisor.com/Restaurant_Review-g187147-d719405-Reviews-Le_Relais_Gascon-Paris_Ile_de_France.html,"1,611 reviews",$$ - $$$,French,Vegetarian Friendly,Great place!!!,11/29/2017,Great service and atmosphere,11/21/2017,,Vegan Options,Gluten Free Options,
Le Hide,https://www.tripadvisor.com/Restaurant_Review-g187147-d1557583-Reviews-Le_Hide-Paris_Ile_de_France.html,"1,060 reviews",$$ - $$$,French,European,amazing food,12/2/2017,Amazing Anniversary dinner,11/18/2017,,Vegetarian Friendly,,
Tesoro d'Italia,https://www.tripadvisor.com/Restaurant_Review-g187147-d1726526-Reviews-Tesoro_d_Italia-Paris_Ile_de_France.html,482 reviews,$$ - $$$,Italian,Mediterranean,Fresh Pasta and Friendly Staff,11/25/2017,"Good service, good food",9/20/2017,,European,Vegetarian Friendly,
Le 14 Juillet,https://www.tripadvisor.com/Restaurant_Review-g187147-d782367-Reviews-Le_14_Juillet-Paris_Ile_de_France.html,392 reviews,$$ - $$$,French,European,Allons enfants de la Patrie!,11/14/2017,Excellent lunch following the Vanves Flea...,11/11/2017,,Vegetarian Friendly,,
La Bonne Cecile,https://www.tripadvisor.com/Restaurant_Review-g187147-d3726848-Reviews-La_Bonne_Cecile-Paris_Ile_de_France.html,429 reviews,$$ - $$$,French,European,Super et sympa,12/1/2017,Great find,10/28/2017,,Gluten Free Options,,
Bien Eleve,https://www.tripadvisor.com/Restaurant_Review-g187147-d10805837-Reviews-Bien_Eleve-Paris_Ile_de_France.html,305 reviews,$$ - $$$,French,Steakhouse,Real Meat Again,12/3/2017,This places knows it’s meat!,11/16/2017,,European,,
Fraiche Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d8135417-Reviews-Fraiche_Restaurant-Paris_Ile_de_France.html,203 reviews,$$ - $$$,French,European,Perfect evening !,11/27/2017,The BEST Restaurant in Paris,7/25/2017,,Vegetarian Friendly,,
Le Tournebievre,https://www.tripadvisor.com/Restaurant_Review-g187147-d1381954-Reviews-Le_Tournebievre-Paris_Ile_de_France.html,"1,045 reviews",$$ - $$$,French,European,Relaxed and welcoming place to eat,12/2/2017,Small and Interesting,11/4/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Blueberry,https://www.tripadvisor.com/Restaurant_Review-g187147-d4097673-Reviews-Blueberry-Paris_Ile_de_France.html,502 reviews,$$ - $$$,Japanese,Sushi,Perfect Sushi,11/8/2017,Delicious and creative,10/23/2017,,Asian,Vegetarian Friendly,Vegan Options
Rouge Bis,https://www.tripadvisor.com/Restaurant_Review-g187147-d8435961-Reviews-Rouge_Bis-Paris_Ile_de_France.html,759 reviews,$$ - $$$,French,European,Great food,11/13/2017,Excellent Staff,10/27/2017,Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options
The Hardware Societe,https://www.tripadvisor.com/Restaurant_Review-g187147-d10165474-Reviews-The_Hardware_Societe-Paris_Ile_de_France.html,192 reviews,$$ - $$$,Cafe,International,Fantastic Brunch,11/25/2017,Gorgeous Brunch,11/24/2017,Australian,European,Vegetarian Friendly,Vegan Options
Les Poulettes Batignolles,https://www.tripadvisor.com/Restaurant_Review-g187147-d6694455-Reviews-Les_Poulettes_Batignolles-Paris_Ile_de_France.html,407 reviews,$$ - $$$,French,European,Always a great experience,11/28/2017,Smoked potatoes,11/17/2017,,Spanish,Vegetarian Friendly,
la table de genevieve,https://www.tripadvisor.com/Restaurant_Review-g187147-d6961145-Reviews-La_table_de_genevieve-Paris_Ile_de_France.html,380 reviews,$$ - $$$,French,European,Perfect Romantic Meal!,12/1/2017,As wonderful as I had hoped,11/22/2017,,Vegetarian Friendly,,
Pizza Caratello,https://www.tripadvisor.com/Restaurant_Review-g187147-d3784592-Reviews-Pizza_Caratello-Paris_Ile_de_France.html,407 reviews,$$ - $$$,Italian,Pizza,Good but not amazing,11/27/2017,Great food great people,11/9/2017,,European,Vegetarian Friendly,Vegan Options
Babalou,https://www.tripadvisor.com/Restaurant_Review-g187147-d814619-Reviews-Babalou-Paris_Ile_de_France.html,890 reviews,$$ - $$$,Italian,Pizza,Trip Advisor Receommendation,11/28/2017,Fantastic Food and Service,11/28/2017,,European,Vegetarian Friendly,Vegan Options
Creperie de Port-Manech,https://www.tripadvisor.com/Restaurant_Review-g187147-d4063055-Reviews-Creperie_de_Port_Manech-Paris_Ile_de_France.html,384 reviews,$$ - $$$,French,Vegetarian Friendly,Brilliant from A to Z,11/8/2017,Second time in Paris,10/16/2017,,,,
La Rughetta,https://www.tripadvisor.com/Restaurant_Review-g187147-d718722-Reviews-La_Rughetta-Paris_Ile_de_France.html,424 reviews,$$ - $$$,Italian,European,Cozy Italian Restaurant in Montmartre,11/10/2017,Great restaurant,11/6/2017,,Vegetarian Friendly,Vegan Options,
Les Passagers de Beyrouth,https://www.tripadvisor.com/Restaurant_Review-g187147-d7729189-Reviews-Les_Passagers_de_Beyrouth-Paris_Ile_de_France.html,381 reviews,$$ - $$$,Lebanese,Mediterranean,"Great food, friendly service",12/3/2017,"Great environment, food and service.",11/12/2017,,Middle Eastern,Vegetarian Friendly,Vegan Options
le petit canard,https://www.tripadvisor.com/Restaurant_Review-g187147-d1094788-Reviews-Le_petit_canard-Paris_Ile_de_France.html,547 reviews,$$ - $$$,French,,Authenticity + Tradition = Wonderful Dinne...,12/1/2017,I Found Heaven,11/18/2017,,,,
Le Ruisseau,https://www.tripadvisor.com/Restaurant_Review-g187147-d6224300-Reviews-Le_Ruisseau-Paris_Ile_de_France.html,323 reviews,$$ - $$$,American,Vegetarian Friendly,"Tasty burgers, great service",11/28/2017,Buono,11/11/2017,Bar,,,
Little Cantine - Burgers & Bakery,https://www.tripadvisor.com/Restaurant_Review-g187147-d5799784-Reviews-Little_Cantine_Burgers_Bakery-Paris_Ile_de_France.html,528 reviews,$$ - $$$,American,Vegetarian Friendly,Saga: Burgers in Paris,11/25/2017,"Juicy burger, just a bit pricy :p",11/10/2017,,Vegan Options,,
Bistrot 31,https://www.tripadvisor.com/Restaurant_Review-g187147-d786308-Reviews-Bistrot_31-Paris_Ile_de_France.html,393 reviews,$$ - $$$,Italian,French,Best value for money wine list in Paris?,11/30/2017,Lovely Neighborhhod Bistro,11/19/2017,,European,Vegetarian Friendly,
Le Maharaja,https://www.tripadvisor.com/Restaurant_Review-g187147-d793280-Reviews-Le_Maharaja-Paris_Ile_de_France.html,378 reviews,$$ - $$$,Indian,Vegetarian Friendly,My favourite Indian restaurant in the whol...,11/6/2017,A Wonderful Hidden Gem,10/28/2017,Sri Lankan,Vegan Options,,
Le P'tit Troquet,https://www.tripadvisor.com/Restaurant_Review-g187147-d719177-Reviews-Le_P_tit_Troquet-Paris_Ile_de_France.html,862 reviews,$$ - $$$,French,European,Small Intimate Gem,11/27/2017,First meal in Paris,11/24/2017,,Vegetarian Friendly,Gluten Free Options,
PerBacco,https://www.tripadvisor.com/Restaurant_Review-g187147-d12474546-Reviews-PerBacco-Paris_Ile_de_France.html,91 reviews,$$ - $$$,Italian,Pizza,Wonderful restaurant,11/25/2017,Great thin crust pizza,10/25/2017,Wine Bar,Mediterranean,Vegetarian Friendly,Vegan Options
Le Saotico,https://www.tripadvisor.com/Restaurant_Review-g187147-d2154313-Reviews-Le_Saotico-Paris_Ile_de_France.html,709 reviews,$$ - $$$,French,European,"Amazing food in a cozy atmosphere, must tr...",11/26/2017,Typical French Restaurant...,11/25/2017,Gastropub,Vegetarian Friendly,Vegan Options,Gluten Free Options
Santa Carne,https://www.tripadvisor.com/Restaurant_Review-g187147-d2032366-Reviews-Santa_Carne-Paris_Ile_de_France.html,477 reviews,$$ - $$$,Steakhouse,Latin,"Delicious, Kind Staff, Great Atmosphere",11/13/2017,"Excellent food, good friendly service",11/6/2017,,Barbecue,Argentinean,South American
Baagaa,https://www.tripadvisor.com/Restaurant_Review-g187147-d8419890-Reviews-Baagaa-Paris_Ile_de_France.html,301 reviews,$$ - $$$,French,American,Late night delight,10/2/2017,Paris trip,8/27/2017,,Vegetarian Friendly,Vegan Options,
Dulcinea,https://www.tripadvisor.com/Restaurant_Review-g187147-d4789367-Reviews-Dulcinea-Paris_Ile_de_France.html,509 reviews,$$ - $$$,Italian,Mediterranean,Delicious dinner,11/26/2017,Beautiful Food,11/20/2017,,European,Vegetarian Friendly,Vegan Options
Le Souffle,https://www.tripadvisor.com/Restaurant_Review-g187147-d719430-Reviews-Le_Souffle-Paris_Ile_de_France.html,"1,731 reviews",$$ - $$$,French,European,Just fantastic,11/29/2017,Lovely and Delicious,11/27/2017,,Vegetarian Friendly,Gluten Free Options,
Sourire Tapas Francaises,https://www.tripadvisor.com/Restaurant_Review-g187147-d8029808-Reviews-Sourire_Tapas_Francaises-Paris_Ile_de_France.html,693 reviews,$$ - $$$,French,European,Cute Place!,11/28/2017,Very good,11/15/2017,Wine Bar,Mediterranean,Vegetarian Friendly,
L'Aller Retour,https://www.tripadvisor.com/Restaurant_Review-g187147-d2286683-Reviews-L_Aller_Retour-Paris_Ile_de_France.html,422 reviews,$$ - $$$,French,Steakhouse,Perfect in every way!,11/26/2017,Great food with excellent service,10/22/2017,,European,,
La Gazette,https://www.tripadvisor.com/Restaurant_Review-g187147-d2514423-Reviews-La_Gazette-Paris_Ile_de_France.html,608 reviews,$$ - $$$,French,Fusion,Perfect last minute choice!,11/25/2017,Highly recommended!,11/13/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Academie de la biere,https://www.tripadvisor.com/Restaurant_Review-g187147-d813220-Reviews-Academie_de_la_biere-Paris_Ile_de_France.html,417 reviews,$$ - $$$,French,European,Super Beer Stop,11/24/2017,Bières,11/16/2017,Belgian,Vegetarian Friendly,,
Les petites bouchees,https://www.tripadvisor.com/Restaurant_Review-g187147-d7085708-Reviews-Les_petites_bouchees-Paris_Ile_de_France.html,340 reviews,$$ - $$$,French,Mediterranean,Great tapas place,11/26/2017,Worth the visit,11/15/2017,,European,Spanish,Vegetarian Friendly
Augustin Bistrot,https://www.tripadvisor.com/Restaurant_Review-g187147-d7604669-Reviews-Augustin_Bistrot-Paris_Ile_de_France.html,478 reviews,$$ - $$$,French,European,Excellent Corsican Restaurant,10/26/2017,Neighborhood Gem,10/21/2017,Gastropub,Vegetarian Friendly,,
L’Anthracite,https://www.tripadvisor.com/Restaurant_Review-g187147-d11872175-Reviews-L_Anthracite-Paris_Ile_de_France.html,88 reviews,$$ - $$$,French,Mediterranean,Go for it!,7/28/2017,Fantastic!,6/19/2017,,,,
Les Bougresses,https://www.tripadvisor.com/Restaurant_Review-g187147-d1335980-Reviews-Les_Bougresses-Paris_Ile_de_France.html,643 reviews,$$ - $$$,French,European,Best French Style Ever in Paris,11/2/2017,Intimate and cozy,10/30/2017,,Vegetarian Friendly,,
Bien Bien,https://www.tripadvisor.com/Restaurant_Review-g187147-d779840-Reviews-Bien_Bien-Paris_Ile_de_France.html,430 reviews,$$ - $$$,Asian,Thai,Lunch,10/3/2017,Best Thai,9/23/2017,,Vegetarian Friendly,Vegan Options,
Le Chenin,https://www.tripadvisor.com/Restaurant_Review-g187147-d1336636-Reviews-Le_Chenin-Paris_Ile_de_France.html,579 reviews,$$ - $$$,French,European,Great accidental find,11/21/2017,Overnight in Paris,10/20/2017,Wine Bar,Vegetarian Friendly,,
Bonvivant,https://www.tripadvisor.com/Restaurant_Review-g187147-d7935848-Reviews-Bonvivant-Paris_Ile_de_France.html,575 reviews,$$ - $$$,French,European,"Another 5! Three years, three visits, perf...",10/20/2017,great service,9/22/2017,Wine Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options
Bistrot de L'Oulette,https://www.tripadvisor.com/Restaurant_Review-g187147-d695171-Reviews-Bistrot_de_L_Oulette-Paris_Ile_de_France.html,538 reviews,$$ - $$$,French,European,Incredible service and lovely atmosphere,12/3/2017,Best Traditional French dinner,11/25/2017,,Vegetarian Friendly,,
Au Bourguignon du Marais,https://www.tripadvisor.com/Restaurant_Review-g187147-d695097-Reviews-Au_Bourguignon_du_Marais-Paris_Ile_de_France.html,785 reviews,$$ - $$$,French,European,"I love its special bourguignon , it’s a mu...",12/3/2017,Tasty Bourguignon,11/26/2017,Gastropub,,,
Au Bon Coin,https://www.tripadvisor.com/Restaurant_Review-g187147-d778352-Reviews-Au_Bon_Coin-Paris_Ile_de_France.html,474 reviews,$$ - $$$,French,,Great traditional and modern French cuisin...,11/20/2017,"Delicious food, very good service",10/6/2017,,,,
Tentazioni,https://www.tripadvisor.com/Restaurant_Review-g187147-d2286457-Reviews-Tentazioni-Paris_Ile_de_France.html,"1,087 reviews",$$ - $$$,Italian,Mediterranean,Just like Italy!,11/6/2017,"Great food, attentive staff",11/5/2017,,European,Vegetarian Friendly,Vegan Options
Sizin,https://www.tripadvisor.com/Restaurant_Review-g187147-d719904-Reviews-Sizin-Paris_Ile_de_France.html,249 reviews,$$ - $$$,Mediterranean,European,Thanksgiving Turkey Alternative,11/23/2017,Great dinner,10/14/2017,,Turkish,Middle Eastern,Vegetarian Friendly
Le Sens Unique,https://www.tripadvisor.com/Restaurant_Review-g187147-d2093366-Reviews-Le_Sens_Unique-Paris_Ile_de_France.html,359 reviews,$$ - $$$,French,European,Excellent little place!,11/27/2017,Lovely little find.,11/26/2017,,Vegetarian Friendly,,
Mardi Crepe Club,https://www.tripadvisor.com/Restaurant_Review-g187147-d10999883-Reviews-Mardi_Crepe_Club-Paris_Ile_de_France.html,151 reviews,$$ - $$$,French,European,Great little place,11/30/2017,Thanks Max!,11/2/2017,Contemporary,Street Food,Fast Food,Vegetarian Friendly
Le Petit Pontoise,https://www.tripadvisor.com/Restaurant_Review-g187147-d719212-Reviews-Le_Petit_Pontoise-Paris_Ile_de_France.html,875 reviews,$$ - $$$,French,European,Fabulous dinner and wonderful service,12/3/2017,"Fabulous Dinner, but . . .",11/25/2017,,Vegetarian Friendly,,
Le Coupe Gorge,https://www.tripadvisor.com/Restaurant_Review-g187147-d719095-Reviews-Le_Coupe_Gorge-Paris_Ile_de_France.html,427 reviews,$$ - $$$,French,European,Great meal,11/18/2017,Great place for a meal,10/12/2017,Gastropub,Vegetarian Friendly,Vegan Options,Gluten Free Options
Le Touareg,https://www.tripadvisor.com/Restaurant_Review-g187147-d810763-Reviews-Le_Touareg-Paris_Ile_de_France.html,263 reviews,$$ - $$$,African,Moroccan,North African cuisine in Paris,10/7/2017,Fantastic,10/2/2017,Tunisian,Mediterranean,Middle Eastern,Vegetarian Friendly
Restaurant La Pie Noir,https://www.tripadvisor.com/Restaurant_Review-g187147-d12182791-Reviews-Restaurant_La_Pie_Noir-Paris_Ile_de_France.html,85 reviews,$$ - $$$,French,European,A must visit restaurant,11/9/2017,Super bien !,11/8/2017,,Vegetarian Friendly,,
Cantina Chic,https://www.tripadvisor.com/Restaurant_Review-g187147-d4040046-Reviews-Cantina_Chic-Paris_Ile_de_France.html,350 reviews,$$ - $$$,Italian,Mediterranean,Best pasta I ever had,11/22/2017,Absolutely fantastic!,10/28/2017,,European,Vegetarian Friendly,
Sorza,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035629-Reviews-Sorza-Paris_Ile_de_France.html,643 reviews,$$ - $$$,Italian,French,Very Nice,11/4/2017,Simple food done well,10/22/2017,Gluten Free Options,Mediterranean,European,Delicatessen
Aux Trois Petits Cochons,https://www.tripadvisor.com/Restaurant_Review-g187147-d5272035-Reviews-Aux_Trois_Petits_Cochons-Paris_Ile_de_France.html,465 reviews,$$ - $$$,Seafood,French,"Great experience, good food",11/30/2017,"Good food , a bit cramped",11/20/2017,Diner,Healthy,Vegetarian Friendly,
Il Forno Di Napoli,https://www.tripadvisor.com/Restaurant_Review-g187147-d2074226-Reviews-Il_Forno_Di_Napoli-Paris_Ile_de_France.html,751 reviews,$$ - $$$,Italian,Pizza,Great Italian Pizza,9/24/2017,Excellent,9/4/2017,,European,Vegetarian Friendly,Vegan Options
La Regalade Conservatoire,https://www.tripadvisor.com/Restaurant_Review-g187147-d4104897-Reviews-La_Regalade_Conservatoire-Paris_Ile_de_France.html,673 reviews,$$ - $$$,French,Vegetarian Friendly,A pleasant surprise,11/14/2017,Wonderful experience,10/30/2017,Gastropub,,,
Hank Burger,https://www.tripadvisor.com/Restaurant_Review-g187147-d5787697-Reviews-Hank_Burger-Paris_Ile_de_France.html,847 reviews,$,American,Fast Food,Perfect food after a day of seeing the sig...,12/3/2017,Vegan heaven,12/3/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Comme Chai Toi - Notre Dame,https://www.tripadvisor.com/Restaurant_Review-g187147-d3537192-Reviews-Comme_Chai_Toi_Notre_Dame-Paris_Ile_de_France.html,540 reviews,$$ - $$$,French,Vegetarian Friendly,Nice ambiance but not exceptional food,11/18/2017,Great as Always,11/11/2017,,,,
Le Vent d'Armor,https://www.tripadvisor.com/Restaurant_Review-g187147-d10041740-Reviews-Le_Vent_d_Armor-Paris_Ile_de_France.html,124 reviews,$$ - $$$,French,Seafood,Amazing dinner ... best meal ever!,11/18/2017,Eat here!,11/12/2017,,European,,
Les Embruns,https://www.tripadvisor.com/Restaurant_Review-g187147-d2269149-Reviews-Les_Embruns-Paris_Ile_de_France.html,430 reviews,$$ - $$$,French,European,Incredible!,11/26/2017,What a good surprise,10/25/2017,,Vegetarian Friendly,,
